,tweet_raw,sent_raw,tweet_clr,sent_clr,tweet_st,sent_st,tweet_lm,sent_lm
0,"British public were treated like mugs..lied to..sold down the river.
Now they're paying the price
Lowest standard of living for THIRTY YEARS 
Highest inflation for FORTY YEARS
Highest energy bills 
Lowest pound against the dollar for thirty seven 
Lowest state pension in Europe https://t.co/QjnnpOLjep",negative,british public treated like mugs lied sold river paying price lowest standard living thirty years highest inflation forty years highest energy bills lowest pound dollar thirty seven lowest state pension europe,neutral,british public treat like mug lie sold river pay price lowest standard live thirti year highest inflat forti year highest energi bill lowest pound dollar thirti seven lowest state pension europ,positive,british public treated like mugs lied sold river paying price low standard living thirty years high inflation forty years high energy bills low pound dollar thirty seven low state pension europe,positive
1,"EU economies set to contract in 2023 - Financial Times

According to experts, high inflation and a shortage of energy resources in Europe will lead to a reduction in production. In addition, the situation on the labor market will worsen in the eurozone.",positive,eu economies set contract financial times according experts high inflation shortage energy resources europe lead reduction production addition situation labor market worsen eurozone,positive,eu economi set contract financi time accord expert high inflat shortag energi resourc europ lead reduct product addit situat labor market worsen eurozon,positive,eu economies set contract financial times according experts high inflation shortage energy resources europe lead reduction production addition situation labor market worsen eurozone,positive
2,Big big good news for all #Europe and #USA in such a cold season #naturalgas prices have come down 12% in a day. Big positive for inflation down turn also. 36% down in a month.,negative,big big good news europe usa cold season naturalgas prices come day big positive inflation turn also month,positive,big big good news europ usa cold season naturalga price come day big posit inflat turn also month,positive,big big good news europe usa cold season naturalgas prices come day big positive inflation turn also month,positive
3,"""The measures, coupled with an agreement negotiated with the European Union to place a limit on gas prices for electricity production, have had some success. Inflation for the past 12 months slowed to 6.7% in November.""  #strategic #spending  https://t.co/6C843uqKBi",positive,measures coupled agreement negotiated european union place limit gas prices electricity production success inflation past months slowed november strategic spending,positive,measur coupl agreement negoti european union place limit ga price electr product success inflat past month slow novemb strateg spend,negative,measures coupled agreement negotiated european union place limit gas prices electricity production success inflation past months slowed november strategic spending,positive
4,"It was due to the problems of Europe (Covid-19, the Russia-Ukraine war, recession, inflation, and high energy cost) that led to the acquisition of @metro_india by reliance. 

Metro AG perhaps lost the stomach to put fresh investments in Indian operations.

https://t.co/RiIMZ4zCIY",positive,due problems europe covid russia ukraine war recession inflation high energy cost led acquisition reliance metro ag perhaps lost stomach put fresh investments indian operations,positive,due problem europ covid russia ukrain war recess inflat high energi cost led acquisit relianc metro ag perhap lost stomach put fresh invest indian oper,positive,due problems europe covid russia ukraine war recession inflation high energy cost led acquisition reliance metro ag perhaps lost stomach put fresh investments indian operations,positive
5,"heute journal - one of the main evening news on German public TV - reports how the UK has been hit hardest in Europe by the pandemic, recession, inflation; interviews with people who can’t afford to heat their homes sheltering in heated public areas and first time foodbank users.",positive,heute journal one main evening news german public tv reports uk hit hardest europe pandemic recession inflation interviews people afford heat homes sheltering heated public areas first time foodbank users,positive,heut journal one main even news german public tv report uk hit hardest europ pandem recess inflat interview peopl afford heat home shelter heat public area first time foodbank user,positive,heute journal one main evening news german public tv reports uk hit hard europe pandemic recession inflation interviews people afford heat homes sheltering heated public areas first time foodbank users,positive
6,"@NoLieWithBTC Productive??????? 40 year high high inflation, decreasing real wages, worst stock market since 2008, rents soaring, food and gas prices way up. Humiliation in Afghanistan and war in Europe. President Biden is the worst President of my lifetime by far.",negative,productive year high high inflation decreasing real wages worst stock market since rents soaring food gas prices way humiliation afghanistan war europe president biden worst president lifetime far,negative,product year high high inflat decreas real wage worst stock market sinc rent soar food ga price way humili afghanistan war europ presid biden worst presid lifetim far,negative,productive year high high inflation decreasing real wages bad stock market since rents soaring food gas prices way humiliation afghanistan war europe president biden bad president lifetime far,negative
7,"Few will miss 2022, a year defined by a lingering pandemic, advancing climate change, galloping inflation, slowing economic growth, and, more than anything else, the outbreak of a costly war in Europe and concerns that violent conflict could soon erupt in Asia. https://t.co/2aTN1ueZGV",negative,miss year defined lingering pandemic advancing climate change galloping inflation slowing economic growth anything else outbreak costly war europe concerns violent conflict could soon erupt asia,negative,miss year defin linger pandem advanc climat chang gallop inflat slow econom growth anyth els outbreak costli war europ concern violent conflict could soon erupt asia,negative,miss year defined lingering pandemic advancing climate change galloping inflation slowing economic growth anything else outbreak costly war europe concerns violent conflict could soon erupt asia,negative
8,@r_o_farrell  Inflation in the Baltics: a warning for the rest of Europe - https://t.co/rdxDijSNRh,neutral,inflation baltics warning rest europe,neutral,inflat baltic warn rest europ,neutral,inflation baltics warning rest europe,neutral
9,"@rasticestmoi @CourtNathan09 @AlanRMacLeod @MintPressNews America, Europe, Asia, Africa. And the first two are suffering under heavy inflation and economic downturns despite stealing a vast ammount of resources from the last 2.",positive,america europe asia africa first two suffering heavy inflation economic downturns despite stealing vast ammount resources last,positive,america europ asia africa first two suffer heavi inflat econom downturn despit steal vast ammount resourc last,positive,america europe asia africa first two suffering heavy inflation economic downturns despite stealing vast ammount resources last,positive
10,"From China to Europe to USA and inflation, 5 economic trends to watch in 2023 https://t.co/Ot7B1ryvPX",positive,china europe usa inflation economic trends watch,positive,china europ usa inflat econom trend watch,neutral,china europe usa inflation economic trends watch,positive
11,"Russia just banned export of oil to G7 countries end result will be higher prices for Europe more inflation,
We have such dumb leaders:
Saving grace for U.K. is we have oil &amp; gas.
You can’t sanction a country with all the resources it will hit you not them,",positive,russia banned export oil g countries end result higher prices europe inflation dumb leaders saving grace u k oil amp gas sanction country resources hit,negative,russia ban export oil g countri end result higher price europ inflat dumb leader save grace u k oil amp ga sanction countri resourc hit,negative,russia banned export oil g countries end result high prices europe inflation dumb leaders saving grace u k oil amp gas sanction country resources hit,negative
12,"@PatFitzs @DavidGoodings1 @implausibleblog Stalin has nothing to do with this.  I blame Brexit for Brexit.  Extra paperwork for businesses to trade with Europe is a result of Brexit, not inflation.  Watch the video below.  Brexit put the UK back at least 5 years.

https://t.co/LgyxH9yEWz",negative,stalin nothing blame brexit brexit extra paperwork businesses trade europe result brexit inflation watch video brexit put uk back least years,negative,stalin noth blame brexit brexit extra paperwork busi trade europ result brexit inflat watch video brexit put uk back least year,negative,stalin nothing blame brexit brexit extra paperwork businesses trade europe result brexit inflation watch video brexit put uk back least years,negative
13,https://t.co/tllgbmfiqJ Damien Kingsbury : Ukraine should enter negotiations with Russia to end the war. Because inflation &amp; restricted supply of Russian gas &amp; oil to the world.,neutral,damien kingsbury ukraine enter negotiations russia end war inflation amp restricted supply russian gas amp oil world,neutral,damien kingsburi ukrain enter negoti russia end war inflat amp restrict suppli russian ga amp oil world,neutral,damien kingsbury ukraine enter negotiations russia end war inflation amp restricted supply russian gas amp oil world,neutral
