2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3.0,,3.8,4.0,,3.8,4.1,4.0,4.3,4.7,5.1,5.4,5.66,5.7,5.78,6.2,6.68,7.03,7.5,7.92,9.08
,,,,,,,,,,,,5.88,5.91,6.08,6.56,7.09,7.48,8.03,8.49,9.08
,,,,,,,,,,,,5.64,5.7,5.78,6.2,6.68,7.03,7.5,7.92,
1.5,1.6,2.1,1.7,1.7,1.7,2.1,2.4,2.6,3.0,3.6,4.1,4.48,4.67,5.0,5.17,5.8,6.28,6.56,6.85,7.25
,,,,,0.2,0.1,0.3,0.3,0.2,0.5,0.5,0.76,1.13,0.96,2.37,3.2,2.72,2.56,2.34,2.3
,,,7.0,7.2,7.1,7.2,8.2,9.0,10.6,12.4,13.1,13.29,13.47,13.44,13.68,14.0,14.09,14.76,15.19,15.33
5.9,6.3,6.5,6.3,5.8,4.9,5.1,5.0,5.6,5.9,6.1,6.1,7.31,6.44,6.25,6.33,7.81,8.6,9.75,11.09,11.45
3.2,3.7,4.1,4.3,4.5,4.7,4.9,5.1,5.4,5.6,5.9,6.1,5.76,6.04,6.18,6.34,6.82,6.82,7.34,7.75,9.59
,,,,7.2,7.2,9.6,8.7,9.6,11.0,12.8,14.1,14.86,15.65,15.96,15.68,18.02,20.01,20.98,22.33,22.41
0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.0,1.0,1.1,1.1,1.1,1.16,1.2,1.16,1.65,1.72,1.66,1.65,1.63,1.66
0.7,0.7,2.0,6.4,6.5,7.6,7.6,7.0,7.8,8.5,8.4,5.2,9.01,7.36,6.71,7.69,6.51,7.96,9.32,10.26,10.15
1.5,1.9,2.6,2.9,2.9,3.1,3.7,4.0,5.3,6.6,6.7,7.5,7.49,6.85,7.26,8.24,8.48,8.73,9.28,9.66,9.98
1.2,1.4,1.7,1.9,1.8,1.9,1.7,1.9,2.0,1.9,2.9,3.4,3.55,3.66,3.87,4.54,5.29,5.99,7.01,7.72,8.71
,,,,,,,,,,,,2.4,3.13,4.03,4.94,6.05,6.46,6.94,7.19,7.21
6.7,8.0,7.6,7.0,6.4,7.3,7.9,7.9,7.5,8.1,8.6,8.4,9.3,10.6,10.91,11.79,13.99,14.67,15.17,15.16,15.97
,,,,0.6,1.0,1.2,1.5,1.6,2.6,2.8,2.9,3.38,4.03,3.63,3.72,4.94,4.61,4.55,4.98,4.37
,,,,1.6,6.8,9.4,8.1,8.9,8.7,9.2,10.1,10.63,9.89,10.86,12.29,13.42,13.92,14.47,14.79,14.79
,,,,1.4,2.3,3.5,4.5,4.6,4.8,5.2,5.4,5.51,5.74,5.57,7.11,7.5,7.98,8.13,8.14,8.0
0.8,1.6,2.2,2.3,2.5,2.4,2.4,2.6,2.7,2.7,2.8,2.8,3.14,3.39,3.43,3.21,3.47,4.15,4.39,4.42,4.63
,,1.6,2.0,2.3,2.2,2.1,1.8,2.1,2.4,2.4,2.3,2.45,2.45,2.34,2.43,3.48,3.73,3.92,5.71,6.03
,,,,0.0,0.1,0.2,0.3,0.4,0.5,0.2,0.2,0.32,0.06,0.29,0.25,0.21,0.35,0.41,0.47,0.62
1.6,1.9,2.2,2.2,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2.61,2.65,2.67,2.67,3.03,3.31,3.5,3.75,3.95
13.8,14.0,14.5,15.4,16.0,16.7,16.7,17.0,17.4,18.5,19.5,19.6,18.62,18.4,19.35,20.3,21.25,23.37,24.08,25.33,25.69
,,,0.2,0.5,1.0,1.0,1.8,2.0,2.3,3.3,4.1,4.51,4.65,4.56,4.03,3.72,3.41,3.33,3.49,3.52
1.2,2.0,2.1,3.2,5.6,6.2,7.2,6.3,5.7,4.3,5.8,6.1,5.48,5.31,5.74,6.53,6.74,7.04,5.93,8.16,8.05
,,,,,0.7,0.8,1.0,1.0,1.2,1.3,1.6,2.1,2.06,2.09,1.77,1.67,1.93,2.43,2.86,3.45
,,,,4.6,4.6,5.5,5.9,6.1,6.3,6.4,7.0,7.32,8.07,8.55,8.85,9.12,9.6,10.01,10.35,10.29
,,,2.2,2.6,4.6,6.2,6.1,7.3,7.5,9.1,8.6,8.53,8.18,9.37,9.47,9.75,9.9,9.85,10.31,11.67
6.7,6.7,7.6,7.1,7.2,6.5,6.3,6.6,6.5,7.2,7.4,8.2,8.65,9.07,9.29,9.91,10.47,11.41,13.09,13.48,13.93
5.9,6.6,6.8,7.2,7.0,7.0,7.2,9.9,10.9,12.8,14.3,15.7,15.76,16.5,16.53,17.14,18.3,19.16,20.29,20.43,20.31
,,,,,,,,,,,,,0.49,,1.41,,0.44,,0.37,0.32
2.0,2.6,3.1,3.7,3.9,4.2,4.3,4.7,5.1,5.5,,,5.57,5.23,5.05,4.83,4.85,4.79,4.7,4.59,4.58
,,,,,11.0,,,,,,,11.57,12.19,12.73,12.91,13.4,14.37,15.4,16.27,16.98
3.3,3.8,4.2,3.9,3.9,3.5,3.4,3.7,4.1,4.2,4.1,3.7,3.41,3.24,3.02,2.89,2.82,2.85,2.64,2.62,
,,,,,,,,,,,,,0.82,0.79,0.17,0.26,0.25,0.35,0.29,0.29
,,,,,,,,,,,,,0.23,0.27,0.44,0.41,0.39,0.55,0.61,0.6
,,,,,,,,,,,,,,1.34,1.34,1.39,1.49,1.69,1.44,1.01
