Year,Element,Area,Area Code (M49),Element Code,Year Code,Value
1961,Export Value,Finland,246.0,5922.0,1961.0,168.88432835820896
1961,Export Value,Ireland,372.0,5922.0,1961.0,1027.138036809816
1962,Export Value,Finland,246.0,5922.0,1962.0,151.50746268656715
1962,Export Value,Ireland,372.0,5922.0,1962.0,963.8404907975461
1963,Export Value,Finland,246.0,5922.0,1963.0,177.23507462686567
1963,Export Value,Ireland,372.0,5922.0,1963.0,1090.1717791411043
1964,Export Value,Finland,246.0,5922.0,1964.0,236.73507462686567
1964,Export Value,Ireland,372.0,5922.0,1964.0,1183.015337423313
1965,Export Value,Finland,246.0,5922.0,1965.0,244.6417910447761
1965,Export Value,Ireland,372.0,5922.0,1965.0,1141.6257668711658
1966,Export Value,Finland,246.0,5922.0,1966.0,247.0597014925373
1966,Export Value,Ireland,372.0,5922.0,1966.0,1205.0
1967,Export Value,Finland,246.0,5922.0,1967.0,260.5820895522388
1967,Export Value,Ireland,372.0,5922.0,1967.0,1381.9325153374234
1968,Export Value,Finland,246.0,5922.0,1968.0,236.28731343283582
1968,Export Value,Ireland,372.0,5922.0,1968.0,1308.7944785276075
1969,Export Value,Finland,246.0,5922.0,1969.0,295.10820895522386
1969,Export Value,Ireland,372.0,5922.0,1969.0,1366.2638036809815
1970,Export Value,Finland,246.0,5922.0,1970.0,387.5634328358209
1970,Export Value,Ireland,372.0,5922.0,1970.0,1532.1871165644172
1971,Export Value,Finland,246.0,5922.0,1971.0,457.80970149253733
1971,Export Value,Ireland,372.0,5922.0,1971.0,1890.2883435582821
1972,Export Value,Finland,246.0,5922.0,1972.0,576.1567164179105
1972,Export Value,Ireland,372.0,5922.0,1972.0,2244.687116564417
1973,Export Value,Finland,246.0,5922.0,1973.0,587.4141791044776
1973,Export Value,Ireland,372.0,5922.0,1973.0,2913.711656441718
1974,Export Value,Finland,246.0,5922.0,1974.0,754.3917910447761
1974,Export Value,Ireland,372.0,5922.0,1974.0,3289.1196319018404
1975,Export Value,Finland,246.0,5922.0,1975.0,735.2611940298508
1975,Export Value,Ireland,372.0,5922.0,1975.0,4679.377300613497
1976,Export Value,Finland,246.0,5922.0,1976.0,934.0522388059702
1976,Export Value,Ireland,372.0,5922.0,1976.0,4372.773006134969
1977,Export Value,Finland,246.0,5922.0,1977.0,1222.5783582089553
1977,Export Value,Ireland,372.0,5922.0,1977.0,5437.773006134969
1978,Export Value,Finland,246.0,5922.0,1978.0,1037.3283582089553
1978,Export Value,Ireland,372.0,5922.0,1978.0,7132.837423312883
1979,Export Value,Ireland,372.0,5922.0,1979.0,8281.877300613496
1979,Export Value,Finland,246.0,5922.0,1979.0,1269.2910447761194
1980,Export Value,Finland,246.0,5922.0,1980.0,1675.19776119403
1980,Export Value,Ireland,372.0,5922.0,1980.0,9561.926380368099
1981,Export Value,Finland,246.0,5922.0,1981.0,2281.570895522388
1981,Export Value,Ireland,372.0,5922.0,1981.0,8000.515337423313
1982,Export Value,Finland,246.0,5922.0,1982.0,1671.8880597014925
1982,Export Value,Ireland,372.0,5922.0,1982.0,7433.880368098159
1983,Export Value,Finland,246.0,5922.0,1983.0,1766.7873134328358
1983,Export Value,Ireland,372.0,5922.0,1983.0,7388.165644171779
1984,Export Value,Finland,246.0,5922.0,1984.0,1823.5261194029852
1984,Export Value,Ireland,372.0,5922.0,1984.0,7672.625766871166
1985,Export Value,Finland,246.0,5922.0,1985.0,1688.9216417910447
