Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2018,2018,tonnes,1601643.39,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2019,2019,tonnes,1539355.99,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2020,2020,tonnes,1313413.75,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2021,2021,tonnes,1219959.29,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2017,2017,tonnes,1119412.15,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2016,2016,tonnes,987845.85,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2014,2014,tonnes,950523.49,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2015,2015,tonnes,942484.61,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,0112,Maize (corn),2013,2013,tonnes,797830.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2018,2018,tonnes,788753.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2018,2018,tonnes,757810.96,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2020,2020,tonnes,719601.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2017,2017,tonnes,697172.67,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2017,2017,tonnes,683715.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2004,2004,tonnes,677303.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2016,2016,tonnes,674226.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2021,2021,tonnes,668755.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,39170.01,Food wastes,2019,2019,tonnes,663953.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2019,2019,tonnes,639990.48,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,21910.03,Cake of  soya beans,2021,2021,tonnes,629014.0,A,Official figure
TCL,Crops and livestock products,372,Ireland,5610,Import Quantity,02211,Raw milk of cattle,2020,2020,tonnes,615152.85,A,Official figure
